"Phylum"	"meanRA"	"sdRA"	"minRA"	"maxRA"
"1"	"Ascomycota"	0.640832281216765	0.0387244798467028	0.000146156094709149	0.981730488161356
"2"	NA	0.0799629323266184	0.0253937260301712	0.000146156094709149	0.394767611809412
"3"	"Mucoromycota"	0.00464900769340805	0.00497216296079237	0.000146156094709149	0.0385852090032154
"4"	"Cercozoa"	0.00934155124481457	0.00302075363150415	0.000146156094709149	0.0485238234434376
"5"	"Basidiomycota"	0.252747423610118	0.0757840808573577	0.000146156094709149	0.97939199064601
"6"	"Chytridiomycota"	0.000177253136136628	0.000290432348765881	0.000146156094709149	0.00146156094709149
"7"	"Rozellomycota"	0.000634379645120563	0.000721957850641828	0.000146156094709149	0.00292312189418299
"8"	"Entomophthoromycota"	0.00292312189418299	0.00515102309512721	0.000146156094709149	0.0223618824904999
"9"	"Mortierellomycota"	0.00593331550436291	0.0165921229603715	0.000146156094709149	0.130371236480561
"10"	"Glomeromycota"	0.000394932426128978	0.0015362142308368	0.000146156094709149	0.00760011692487577
"11"	"Olpidiomycota"	0.00124388165709914	0.00504555653328983	0.000146156094709149	0.0178310435545162
"12"	"Chlorophyta"	1.55485207137393e-05	NA	0.000730780473545747	0.000730780473545747
"13"	"Calcarisporiellomycota"	3.42067455702265e-05	0.00024960905110493	0.000146156094709149	0.000730780473545747
"14"	"Neocallimastigomycota"	0.000199021065135863	0.000894278355249507	0.000146156094709149	0.00394621455714703
"15"	"Zoopagomycota"	6.21940828549572e-06	NA	0.000292312189418299	0.000292312189418299
"16"	"Blastocladiomycota"	0.000839620118541922	0.00561730725492095	0.000146156094709149	0.0211926337328267
"17"	"Entorrhizomycota"	6.5303786997705e-05	0.00127415929363948	0.000146156094709149	0.00248465361005554
