OTU.ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU1,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma,NA
OTU2,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU3,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,NA,NA,NA
OTU4,Fungi,Ascomycota,Dothideomycetes,NA,NA,NA,NA
OTU5,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU6,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma halophilum
OTU7,Fungi,Ascomycota,Eurotiomycetes,Verrucariales,Verrucariaceae,Placidium,Placidium lacinulatum var erythrostratum
OTU8,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Sporormia,Sporormia grandispora
OTU9,Fungi,Ascomycota,Eurotiomycetes,Verrucariales,Verrucariaceae,Placidium,Placidium lacinulatum
OTU10,Fungi,NA,NA,NA,NA,NA,NA
OTU11,Fungi,Ascomycota,Eurotiomycetes,Verrucariales,NA,NA,NA
OTU12,Fungi,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,NA
OTU14,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU15,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU16,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU17,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU18,Fungi,NA,NA,NA,NA,NA,NA
OTU19,Fungi,NA,NA,NA,NA,NA,NA
OTU20,Fungi,Ascomycota,Lecanoromycetes,Trapeliales,NA,NA,NA
OTU21,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,NA,NA
OTU22,Fungi,Ascomycota,Leotiomycetes,Helotiales,Rutstroemiaceae,Rutstroemia,Rutstroemia calopus
OTU23,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria chlamydosporigena
OTU24,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,NA
OTU25,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU26,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU27,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU28,Fungi,Ascomycota,Lecanoromycetes,Umbilicariales,NA,NA,NA
OTU29,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU30,Fungi,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,NA,NA
OTU31,Fungi,NA,NA,NA,NA,NA,NA
OTU32,Fungi,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,NA
OTU33,Fungi,Ascomycota,Eurotiomycetes,Verrucariales,Verrucariaceae,Placidium,Placidium umbrinum
OTU34,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU35,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU36,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU37,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
OTU38,Fungi,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA
OTU39,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU40,Fungi,Ascomycota,Lecanoromycetes,Umbilicariales,NA,NA,NA
OTU41,Fungi,Ascomycota,Lecanoromycetes,Umbilicariales,NA,NA,NA
OTU42,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,NA,NA
OTU43,Fungi,Ascomycota,Eurotiomycetes,NA,NA,NA,NA
OTU44,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia africana
OTU45,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU46,Fungi,Basidiomycota,Agaricomycetes,Boletales,NA,NA,NA
OTU48,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Scutellinia,NA
OTU49,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA
OTU50,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU51,Fungi,Ascomycota,Lecanoromycetes,Acarosporales,NA,NA,NA
OTU52,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria hungarica
OTU53,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Didymella glomerata
OTU54,Fungi,Ascomycota,Dothideomycetes,NA,NA,NA,NA
OTU55,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Gibberella,Gibberella acuminata
OTU56,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU57,Fungi,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,NA,NA
OTU58,Fungi,Ascomycota,Lecanoromycetes,Umbilicariales,NA,NA,NA
OTU59,Fungi,Ascomycota,Pezizomycetes,Pezizales,NA,NA,NA
OTU60,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,NA,NA,NA
OTU61,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU62,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,NA,NA
OTU63,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,NA
OTU64,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU65,Fungi,Basidiomycota,Agaricomycetes,NA,NA,NA,NA
OTU66,Fungi,Ascomycota,Dothideomycetes,Venturiales,NA,NA,NA
OTU67,Fungi,Ascomycota,Pezizomycetes,Pezizales,NA,NA,NA
OTU68,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU70,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,NA
OTU71,Fungi,Ascomycota,Eurotiomycetes,Phaeomoniellales,NA,NA,NA
OTU72,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,Thyrostroma,NA
OTU73,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU74,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Neostagonospora,NA
OTU75,Fungi,Basidiomycota,Agaricomycetes,NA,NA,NA,NA
OTU76,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU77,Fungi,Ascomycota,Dothideomycetes,NA,NA,NA,NA
OTU78,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,NA
OTU79,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU80,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU81,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Coniosporium,NA
OTU82,Fungi,Ascomycota,Eurotiomycetes,Onygenales,NA,NA,NA
OTU83,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,NA
OTU84,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,NA
OTU85,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU86,Fungi,NA,NA,NA,NA,NA,NA
OTU87,Fungi,Ascomycota,Dothideomycetes,NA,NA,NA,NA
OTU88,Fungi,NA,NA,NA,NA,NA,NA
OTU89,Fungi,NA,NA,NA,NA,NA,NA
OTU90,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU91,Fungi,Mucoromycota,Mucoromycetes,Mucorales,NA,NA,NA
OTU92,Fungi,Basidiomycota,Dacrymycetes,Dacrymycetales,NA,NA,NA
