"","OTU1","OTU2","WEIGHT"
"1","cc824ff9fd2e178f7c81d879ea6ce958","9d739e344b8c35584d63f0585c5271ab",1
"2","be7980c813e6fbe8419431886d8a01f7","ec0290f38c4cba4e526abb2303d3ab62",1
"3","05b908e4ec253e657bb0371f665f940d","f0b542bea12c666454dbc07ee843a31b",1
"4","OTU100","OTU151",1
"5","OTU100","OTU189",1
"6","OTU100","OTU190",1
"7","OTU100","OTU235",1
"8","OTU100","OTU254",1
"9","OTU100","OTU479",1
"10","OTU133","OTU138",1
"11","OTU133","OTU191",1
"12","OTU133","OTU195",1
"13","OTU133","OTU211",1
"14","OTU133","OTU213",1
"15","OTU133","OTU232",1
"16","OTU133","OTU241",1
"17","OTU133","OTU260",1
"18","OTU133","OTU281",1
"19","OTU133","OTU296",1
"20","OTU133","OTU302",1
"21","OTU133","OTU61",1
"22","OTU134","OTU17",1
"23","OTU134","OTU34",1
"24","OTU138","OTU191",1
"25","OTU138","OTU195",1
"26","OTU138","OTU211",1
"27","OTU138","OTU213",1
"28","OTU138","OTU232",1
"29","OTU138","OTU241",1
"30","OTU138","OTU260",1
"31","OTU138","OTU281",1
"32","OTU138","OTU296",1
"33","OTU138","OTU302",1
"34","OTU138","OTU61",1
"35","OTU151","OTU189",1
"36","OTU151","OTU190",1
"37","OTU151","OTU235",1
"38","OTU151","OTU254",1
"39","OTU151","OTU479",1
"40","OTU157","OTU246",1
"41","OTU157","OTU247",1
"42","OTU157","OTU263",1
"43","OTU157","OTU28",1
"44","OTU157","OTU513",1
"45","OTU157","OTU54",1
"46","OTU157","OTU76",1
"47","OTU17","OTU34",1
"48","OTU189","OTU190",1
"49","OTU189","OTU235",1
"50","OTU189","OTU254",1
"51","OTU189","OTU479",1
"52","OTU190","OTU235",1
"53","OTU190","OTU254",1
"54","OTU190","OTU479",1
"55","OTU191","OTU195",1
"56","OTU191","OTU211",1
"57","OTU191","OTU213",1
"58","OTU191","OTU232",1
"59","OTU191","OTU241",1
"60","OTU191","OTU260",1
"61","OTU191","OTU281",1
"62","OTU191","OTU296",1
"63","OTU191","OTU302",1
"64","OTU191","OTU61",1
"65","OTU195","OTU211",1
"66","OTU195","OTU213",1
"67","OTU195","OTU232",1
"68","OTU195","OTU241",1
"69","OTU195","OTU260",1
"70","OTU195","OTU281",1
"71","OTU195","OTU296",1
"72","OTU195","OTU302",1
"73","OTU195","OTU61",1
"74","OTU206","OTU255",1
"75","OTU211","OTU213",1
"76","OTU211","OTU232",1
"77","OTU211","OTU241",1
"78","OTU211","OTU260",1
"79","OTU211","OTU281",1
"80","OTU211","OTU296",1
"81","OTU211","OTU302",1
"82","OTU211","OTU61",1
"83","OTU213","OTU232",1
"84","OTU213","OTU241",1
"85","OTU213","OTU260",1
"86","OTU213","OTU281",1
"87","OTU213","OTU296",1
"88","OTU213","OTU302",1
"89","OTU213","OTU61",1
"90","OTU232","OTU241",1
"91","OTU232","OTU260",1
"92","OTU232","OTU281",1
"93","OTU232","OTU296",1
"94","OTU232","OTU302",1
"95","OTU232","OTU61",1
"96","OTU235","OTU254",1
"97","OTU235","OTU479",1
"98","OTU241","OTU260",1
"99","OTU241","OTU281",1
"100","OTU241","OTU296",1
"101","OTU241","OTU302",1
"102","OTU241","OTU61",1
"103","OTU246","OTU247",1
"104","OTU246","OTU263",1
"105","OTU246","OTU28",1
"106","OTU246","OTU513",1
"107","OTU246","OTU54",1
"108","OTU246","OTU76",1
"109","OTU247","OTU263",1
"110","OTU247","OTU28",1
"111","OTU247","OTU513",1
"112","OTU247","OTU54",1
"113","OTU247","OTU76",1
"114","OTU254","OTU479",1
"115","OTU260","OTU281",1
"116","OTU260","OTU296",1
"117","OTU260","OTU302",1
"118","OTU260","OTU61",1
"119","OTU263","OTU28",1
"120","OTU263","OTU513",1
"121","OTU263","OTU54",1
"122","OTU263","OTU76",1
"123","OTU28","OTU513",1
"124","OTU28","OTU54",1
"125","OTU28","OTU76",1
"126","OTU281","OTU296",1
"127","OTU281","OTU302",1
"128","OTU281","OTU61",1
"129","OTU296","OTU302",1
"130","OTU296","OTU61",1
"131","OTU302","OTU61",1
"132","OTU513","OTU54",1
"133","OTU513","OTU76",1
"134","OTU54","OTU76",1
