SampleID	Locus	Flowcell	Site	Site_layer	Layer	Soil_type	Soil_type_layer	Crust_type	Sampling_month	Sampling_Date	Description
n16S.NPMarch1SF.	16S	FC761	JTNP	JTNP_SF	Surface	Granite	Granite_SF	CLC	March_2017	3/31/17	KEEP
n16S.NPMarch1Sub.	16S	FC761	JTNP	JTNP_Sub	Subsurface	Granite	Granite_Sub	CLC.Sub	March_2017	3/31/17	SKIP
n16S.NPMarch2SF.	16S	FC761	JTNP	JTNP_SF	Surface	Granite	Granite_SF	LAC	March_2017	3/31/17	KEEP
n16S.NPMarch2Sub.	16S	FC761	JTNP	JTNP_Sub	Subsurface	Granite	Granite_Sub	LAC.Sub	March_2017	3/31/17	SKIP
n16S.NPMarch3SF.	16S	FC761	JTNP	JTNP_SF	Surface	Granite	Granite_SF	CLC	March_2017	3/31/17	KEEP
n16S.NPMarch3Sub.	16S	FC761	JTNP	JTNP_Sub	Subsurface	Granite	Granite_Sub	CLC.Sub	March_2017	3/31/17	SKIP
n16S.NPMarch4SF.	16S	FC761	JTNP	JTNP_SF	Surface	Granite	Granite_SF	LAC	March_2017	3/31/17	KEEP
n16S.NPMarch4Sub.	16S	FC761	JTNP	JTNP_Sub	Subsurface	Granite	Granite_Sub	LAC.Sub	March_2017	3/31/17	SKIP
n16S.NPMarch5SF.	16S	FC761	JTNP	JTNP_SF	Surface	Granite	Granite_SF	GLC	March_2017	3/31/17	KEEP
n16S.NPMarch5Sub.	16S	FC761	JTNP	JTNP_Sub	Subsurface	Granite	Granite_Sub	GLC.Sub	March_2017	3/31/17	SKIP
n16S.NPMarch6SF.	16S	FC761	JTNP	JTNP_SF	Surface	Granite	Granite_SF	CLC	March_2017	3/31/17	KEEP
n16S.NPMarch6Sub.	16S	FC761	JTNP	JTNP_Sub	Subsurface	Granite	Granite_Sub	CLC.Sub	March_2017	3/31/17	SKIP
n16S.NPMarch7SF.	16S	FC761	JTNP	JTNP_SF	Surface	Granite	Granite_SF	LAC	March_2017	3/31/17	KEEP
n16S.NPMarch7Sub.	16S	FC761	JTNP	JTNP_Sub	Subsurface	Granite	Granite_Sub	LAC.Sub	March_2017	3/31/17	SKIP
n16S.NPMarch8SF.	16S	FC761	JTNP	JTNP_SF	Surface	Granite	Granite_SF	GLC	March_2017	3/31/17	KEEP
n16S.NPMarch8Sub.	16S	FC761	JTNP	JTNP_Sub	Subsurface	Granite	Granite_Sub	GLC.Sub	March_2017	3/31/17	SKIP
