"","OTU.ID","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","929800995dbd80124bd987bcf6912931","D_0__Bacteria","D_1__Planctomycetes","D_2__Planctomycetacia","D_3__Gemmatales","D_4__Gemmataceae","D_5__uncultured","D_6__uncultured bacterium"
"2","da94ef95389281c2b3188f5c25085531","D_0__Bacteria","D_1__Chloroflexi","D_2__KD4-96",NA,NA,NA,NA
"3","c601e5595a74d87843c5eb6ccd4866e0","D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia",NA,NA,NA,NA
"4","efba76fd574127b29e57f223027c1e58","D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Cytophagales","D_4__Cyclobacteriaceae","D_5__uncultured",NA
"5","153ec3f850fdbb4be685ecbbbe15ff31","D_0__Bacteria","D_1__Acidobacteria","D_2__Blastocatellia (Subgroup 4)","D_3__Blastocatellales","D_4__Blastocatellaceae","D_5__uncultured","D_6__uncultured bacterium"
"6","a84830665f530c5c4fe6193987cb18e4","D_0__Bacteria","D_1__Actinobacteria","D_2__Thermoleophilia","D_3__Solirubrobacterales","D_4__Solirubrobacteraceae","D_5__Conexibacter","D_6__metagenome"
"7","0cb12343217e89991f3f9b0346deda01","D_0__Bacteria","D_1__Chloroflexi","D_2__Chloroflexia","D_3__Kallotenuales","D_4__AKIW781","D_5__uncultured bacterium","D_6__uncultured bacterium"
"8","1f062b631901b635358c9481af082617","D_0__Bacteria","D_1__Gemmatimonadetes","D_2__Gemmatimonadetes","D_3__Gemmatimonadales","D_4__Gemmatimonadaceae",NA,NA
"9","953a0de545010ddf9b041e529fc1eff4","D_0__Bacteria","D_1__Actinobacteria","D_2__Thermoleophilia","D_3__Gaiellales","D_4__uncultured","D_5__uncultured bacterium","D_6__uncultured bacterium"
"10","8de5a18ac2272a028e6488e43e1164f8","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Sphingomonadales","D_4__Sphingomonadaceae","D_5__Altererythrobacter",NA
"11","698f0c96c514d1d98c82a648d886ec24","D_0__Bacteria","D_1__Planctomycetes","D_2__Planctomycetacia","D_3__Gemmatales","D_4__Gemmataceae","D_5__uncultured","D_6__uncultured bacterium"
"12","d7506bbe11082b7e6f0991a448a9ba22","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Acetobacterales","D_4__Acetobacteraceae","D_5__Acidiphilium","D_6__uncultured soil bacterium"
"13","0fbe94ce27ca2a328e305ce96fdb681f","D_0__Bacteria","D_1__Chloroflexi","D_2__Chloroflexia","D_3__Chloroflexales","D_4__Chloroflexaceae","D_5__Candidatus Chloroploca","D_6__Candidatus Chloroploca asiatica"
"14","f6088db9a172d531b16688b03cc92100","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Acetobacterales","D_4__Acetobacteraceae",NA,NA
"15","bc5784255225141900eaf3b58c186677","D_0__Bacteria","D_1__Actinobacteria","D_2__Thermoleophilia","D_3__Gaiellales","D_4__uncultured",NA,NA
"16","b8bc8221b9a914cafec59564f08a4328","D_0__Bacteria",NA,NA,NA,NA,NA,NA
"17","b2544047c1e7609ac9ecf398779295ad","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Azospirillales","D_4__Azospirillaceae","D_5__Skermanella",NA
