Site,Phylum,Class,Order,Family,Genus,Species
CIMA,Armatimonadetes,Armatimonadia,Armatimonadales,uncultured bacterium,uncultured bacterium,uncultured bacterium
CIMA,Gemmatimonadetes,Longimicrobia,Longimicrobiales,Longimicrobiaceae,uncultured bacterium,uncultured bacterium
CIMA,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Craurococcus,uncultured proteobacterium
CIMA,Armatimonadetes,Armatimonadia,Armatimonadales,uncultured soil bacterium,uncultured soil bacterium,uncultured soil bacterium
CIMA,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,uncultured,uncultured bacterium
CIMA,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,PMMR1,uncultured bacterium
CIMA,Chloroflexi,Chloroflexia,Kallotenuales,AKIW781,uncultured bacterium,uncultured bacterium
CIMA,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae (Subgroup 3),Bryobacter,uncultured Acidobacteria bacterium
CIMA,Armatimonadetes,Armatimonadia,Armatimonadales,uncultured bacterium,uncultured bacterium,uncultured bacterium
CIMA,Chloroflexi,Chloroflexia,Chloroflexales,Herpetosiphonaceae,Herpetosiphon,uncultured bacterium
CIMA,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,Segetibacter aerophilus
CIMA,Armatimonadetes,Armatimonadia,Armatimonadales,uncultured bacterium,uncultured bacterium,uncultured bacterium
CIMA,Bacteroidetes,Bacteroidia,Cytophagales,Hymenobacteraceae,Nibribacter,uncultured bacterium
CIMA,FBP,uncultured soil bacterium,uncultured soil bacterium,uncultured soil bacterium,uncultured soil bacterium,uncultured soil bacterium
CIMA,Planctomycetes,Planctomycetacia,Isosphaerales,Isosphaeraceae,uncultured,uncultured Isosphaera sp.
CIMA,Cyanobacteria,Oxyphotobacteria,Nostocales,Chroococcidiopsaceae,Chroococcidiopsis SAG 2023,Chroococcidiopsis sp. BB79.2
CIMA,Cyanobacteria,Oxyphotobacteria,Nostocales,uncultured,uncultured bacterium,uncultured bacterium
CIMA,Cyanobacteria,Oxyphotobacteria,Nostocales,Chroococcidiopsaceae,Chroococcidiopsis SAG 2023,uncultured bacterium
CIMA,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured,uncultured Chloroflexi bacterium
CIMA,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,uncultured,uncultured Bacteroidetes bacterium
CIMA,Cyanobacteria,Oxyphotobacteria,Nostocales,uncultured,uncultured bacterium,uncultured bacterium
CIMA,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera,uncultured endolithic bacterium
CIMA,Bacteroidetes,Bacteroidia,Cytophagales,Cytophagaceae,uncultured,uncultured bacterium
CIMA,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,uncultured soil bacterium,uncultured soil bacterium
CIMA,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,uncultured bacterium
CIMA,Cyanobacteria,Oxyphotobacteria,Nostocales,uncultured,uncultured bacterium,uncultured bacterium
CIMA,Bacteroidetes,Bacteroidia,Chitinophagales,uncultured,metagenome,metagenome
CIMA,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus maricopensis DSM 21211
CIMA,Cyanobacteria,Oxyphotobacteria,Nostocales,Chroococcidiopsaceae,Chroococcidiopsis SAG 2023,Chroococcidiopsis sp. BB79.2
GMT,Cyanobacteria,Oxyphotobacteria,Nostocales,uncultured,uncultured cyanobacterium,uncultured cyanobacterium
GMT,Cyanobacteria,Oxyphotobacteria,Nostocales,Nostocaceae,uncultured,uncultured bacterium
GMT,Chloroflexi,TK10,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
GMT,Cyanobacteria,Oxyphotobacteria,Nostocales,Nostocaceae,Mastigocladopsis PCC-10914,uncultured bacterium
GMT,Planctomycetes,Phycisphaerae,Tepidisphaerales,WD2101 soil group,uncultured planctomycete,uncultured planctomycete
GMT,Bacteroidetes,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Parahymenobacter deserti
GMT,Cyanobacteria,Oxyphotobacteria,Nostocales,Nostocaceae,uncultured,uncultured bacterium
GMT,Chloroflexi,Chloroflexia,Kallotenuales,AKIW781,uncultured bacterium,uncultured bacterium
GMT,Cyanobacteria,Oxyphotobacteria,Nostocales,Nostocaceae,Mastigocladopsis PCC-10914,uncultured bacterium
GMT,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,uncultured,uncultured Bacteroidetes bacterium
GMT,Bacteroidetes,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter,uncultured bacterium
GMT,Chloroflexi,Chloroflexia,Kallotenuales,AKIW781,uncultured bacterium,uncultured bacterium
GMT,Armatimonadetes,uncultured,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
GMT,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexaceae,FFCH7168,uncultured bacterium
GMT,Armatimonadetes,uncultured,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
JTNP,Bacteroidetes,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter rigui
JTNP,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,metagenome
JTNP,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,uncultured bacterium
JTNP,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavisolibacter,uncultured bacterium
JTNP,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium,uncultured delta proteobacterium
JTNP,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,uncultured bacterium
JTNP,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Cnuella,uncultured bacterium
JTNP,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaera,uncultured bacterium
JTNP,Armatimonadetes,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,metagenome,metagenome
JTNP,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,uncultured bacterium
JTNP,Actinobacteria,Actinobacteria,Frankiales,Geodermatophilaceae,Geodermatophilus,uncultured bacterium
JTNP,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Rhabdobacter,uncultured bacterium
KELSO,Chloroflexi,Chloroflexia,Kallotenuales,AKIW781,uncultured bacterium,uncultured bacterium
KELSO,Actinobacteria,Thermoleophilia,Solirubrobacterales,67-14,uncultured actinobacterium,uncultured actinobacterium
KELSO,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,uncultured bacterium
KELSO,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,Roseomonas pecuniae
KELSO,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Skermanella,uncultured bacterium
KELSO,Bacteroidetes,Bacteroidia,Chitinophagales,uncultured,metagenome,metagenome
KELSO,Cyanobacteria,Oxyphotobacteria,Nostocales,Coleofasciculaceae,uncultured,uncultured cyanobacterium
KELSO,Proteobacteria,Deltaproteobacteria,Myxococcales,BIrii41,uncultured bacterium,uncultured bacterium
KELSO,Bacteroidetes,Bacteroidia,Cytophagales,Cytophagaceae,Rhodocytophaga,uncultured Bacteroidetes bacterium
KELSO,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas kaistensis
KELSO,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,uncultured,uncultured Paracraurococcus sp.
