	OUT.ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU1	OTU1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	NA
OTU2	OTU2	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
OTU3	OTU3	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	NA	NA	NA
OTU4	OTU4	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU5	OTU5	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
OTU6	OTU6	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma halophilum
OTU7	OTU7	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Placidium	Placidium lacinulatum var erythrostratum
OTU8	OTU8	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormia	Sporormia grandispora
OTU9	OTU9	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Placidium	Placidium lacinulatum
OTU10	OTU10	Fungi	NA	NA	NA	NA	NA	NA
OTU11	OTU11	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	NA	NA	NA
OTU12	OTU12	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
OTU14	OTU14	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
OTU15	OTU15	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU16	OTU16	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU17	OTU17	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
OTU18	OTU18	Fungi	NA	NA	NA	NA	NA	NA
OTU19	OTU19	Fungi	NA	NA	NA	NA	NA	NA
OTU20	OTU20	Fungi	Ascomycota	Lecanoromycetes	Trapeliales	NA	NA	NA
OTU21	OTU21	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	NA
OTU22	OTU22	Fungi	Ascomycota	Leotiomycetes	Helotiales	Rutstroemiaceae	Rutstroemia	Rutstroemia calopus
OTU23	OTU23	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria chlamydosporigena
OTU24	OTU24	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	NA
OTU25	OTU25	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU26	OTU26	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
OTU27	OTU27	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU28	OTU28	Fungi	Ascomycota	Lecanoromycetes	Umbilicariales	NA	NA	NA
OTU29	OTU29	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
OTU30	OTU30	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	NA	NA
OTU31	OTU31	Fungi	NA	NA	NA	NA	NA	NA
OTU32	OTU32	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
OTU33	OTU33	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Placidium	Placidium umbrinum
OTU34	OTU34	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU35	OTU35	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU36	OTU36	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU37	OTU37	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	NA	NA
OTU38	OTU38	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
OTU39	OTU39	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
OTU40	OTU40	Fungi	Ascomycota	Lecanoromycetes	Umbilicariales	NA	NA	NA
OTU41	OTU41	Fungi	Ascomycota	Lecanoromycetes	Umbilicariales	NA	NA	NA
OTU42	OTU42	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	NA	NA
OTU43	OTU43	Fungi	Ascomycota	Eurotiomycetes	NA	NA	NA	NA
OTU44	OTU44	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia africana
OTU45	OTU45	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
OTU46	OTU46	Fungi	Basidiomycota	Agaricomycetes	Boletales	NA	NA	NA
OTU48	OTU48	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Scutellinia	NA
OTU49	OTU49	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
OTU50	OTU50	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU51	OTU51	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	NA	NA	NA
OTU52	OTU52	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria hungarica
OTU53	OTU53	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella glomerata
OTU54	OTU54	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU55	OTU55	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella acuminata
OTU56	OTU56	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
OTU57	OTU57	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	NA	NA
OTU58	OTU58	Fungi	Ascomycota	Lecanoromycetes	Umbilicariales	NA	NA	NA
OTU59	OTU59	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
OTU60	OTU60	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	NA	NA	NA
OTU61	OTU61	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
OTU62	OTU62	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	NA	NA
OTU63	OTU63	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
OTU64	OTU64	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU65	OTU65	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA
OTU66	OTU66	Fungi	Ascomycota	Dothideomycetes	Venturiales	NA	NA	NA
OTU67	OTU67	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
