SampleID	Locus	Flowcell	Site	Site_layer	Layer	Soil_type	Soil_type_layer	Crust_type	Crust_type_no_depth	Sampling_month	Sampling_Date	Description
n16S.NPMarch1SF.	16S	FC761	JTNP	JTNP_SF	Surface	Granite	Granite_SF	CLC	CLC	March_2017	3/31/17	KEEP
n16S.NPMarch1Sub.	16S	FC761	JTNP	JTNP_Sub	Subsurface	Granite	Granite_Sub	CLC.Sub	CLC	March_2017	3/31/17	SKIP
n16S.NPMarch2SF.	16S	FC761	JTNP	JTNP_SF	Surface	Granite	Granite_SF	LAC	LAC	March_2017	3/31/17	KEEP
n16S.NPMarch2Sub.	16S	FC761	JTNP	JTNP_Sub	Subsurface	Granite	Granite_Sub	LAC.Sub	LAC	March_2017	3/31/17	SKIP
n16S.NPMarch3SF.	16S	FC761	JTNP	JTNP_SF	Surface	Granite	Granite_SF	CLC	CLC	March_2017	3/31/17	KEEP
n16S.NPMarch3Sub.	16S	FC761	JTNP	JTNP_Sub	Subsurface	Granite	Granite_Sub	CLC.Sub	CLC	March_2017	3/31/17	SKIP
n16S.NPMarch4SF.	16S	FC761	JTNP	JTNP_SF	Surface	Granite	Granite_SF	LAC	LAC	March_2017	3/31/17	KEEP
n16S.NPMarch4Sub.	16S	FC761	JTNP	JTNP_Sub	Subsurface	Granite	Granite_Sub	LAC.Sub	LAC	March_2017	3/31/17	SKIP
n16S.NPMarch5SF.	16S	FC761	JTNP	JTNP_SF	Surface	Granite	Granite_SF	GLC	GLC	March_2017	3/31/17	KEEP
n16S.NPMarch5Sub.	16S	FC761	JTNP	JTNP_Sub	Subsurface	Granite	Granite_Sub	GLC.Sub	GLC	March_2017	3/31/17	SKIP
n16S.NPMarch6SF.	16S	FC761	JTNP	JTNP_SF	Surface	Granite	Granite_SF	CLC	CLC	March_2017	3/31/17	KEEP
n16S.NPMarch6Sub.	16S	FC761	JTNP	JTNP_Sub	Subsurface	Granite	Granite_Sub	CLC.Sub	CLC	March_2017	3/31/17	SKIP
n16S.NPMarch7SF.	16S	FC761	JTNP	JTNP_SF	Surface	Granite	Granite_SF	LAC	LAC	March_2017	3/31/17	KEEP
n16S.NPMarch7Sub.	16S	FC761	JTNP	JTNP_Sub	Subsurface	Granite	Granite_Sub	LAC.Sub	LAC	March_2017	3/31/17	SKIP
n16S.NPMarch8SF.	16S	FC761	JTNP	JTNP_SF	Surface	Granite	Granite_SF	GLC	GLC	March_2017	3/31/17	KEEP
n16S.NPMarch8Sub.	16S	FC761	JTNP	JTNP_Sub	Subsurface	Granite	Granite_Sub	GLC.Sub	GLC	March_2017	3/31/17	SKIP
n16S.NPMarch9SF.	16S	FC761	JTNP	JTNP_SF	Surface	Granite	Granite_SF	GLC	GLC	March_2017	3/31/17	KEEP
n16S.NPMarch9Sub.	16S	FC761	JTNP	JTNP_Sub	Subsurface	Granite	Granite_Sub	GLC.Sub	GLC	March_2017	3/31/17	SKIP
n16S.CIMA.LAC.	16S	FC761	CIMA	CIMA_SF	Surface	Volcanic	Volcanic_SF	LAC	LAC	March_2015	3/16/15	KEEP
n16S.CIMA.CLC.	16S	FC761	CIMA	CIMA_SF	Surface	Volcanic	Volcanic_SF	CLC	CLC	March_2015	3/16/15	KEEP
n16S.CIMA.GLC.	16S	FC761	CIMA	CIMA_SF	Surface	Volcanic	Volcanic_SF	GLC	GLC	March_2016	3/11/16	KEEP
n16S.CIMA.SMC.	16S	FC761	CIMA	CIMA_SF	Surface	Volcanic	Volcanic_SF	SMC	SMC	March_2015	3/16/15	KEEP
n16S.CIMA.RMC.	16S	FC761	CIMA	CIMA_SF	Surface	Volcanic	Volcanic_SF	RMC	RMC	March_2015	3/16/15	KEEP
n16S.KELSO.LAC.	16S	FC761	KELSO	KELSO_SF	Surface	Sand	Sand_SF	LAC	LAC	March_2015	3/16/15	KEEP
n16S.KELSO.CLC.	16S	FC761	KELSO	KELSO_SF	Surface	Sand	Sand_SF	CLC	CLC	March_2015	3/16/15	KEEP
n16S.KELSO.GLC.	16S	FC761	KELSO	KELSO_SF	Surface	Sand	Sand_SF	GLC	GLC	March_2015	3/16/15	KEEP
n16S.KELSO.SMC.	16S	FC761	KELSO	KELSO_SF	Surface	Sand	Sand_SF	SMC	SMC	March_2015	3/16/15	KEEP
n16S.KELSO.RMC.	16S	FC761	KELSO	KELSO_SF	Surface	Sand	Sand_SF	RMC	RMC	March_2015	3/16/15	KEEP
n16S.GMT.LAC.	16S	FC761	GMT	GMT_SF	Surface	Granite	Granite_SF	LAC	LAC	March_2015	3/16/15	KEEP
n16S.GMT.CLC.	16S	FC761	GMT	GMT_SF	Surface	Granite	Granite_SF	CLC	CLC	August_2015	8/6/15	KEEP
n16S.GMT.GLC.	16S	FC761	GMT	GMT_SF	Surface	Granite	Granite_SF	GLC	GLC	March_2015	3/16/15	KEEP
