,OTU1,OTU2,WEIGHT
5,cc10d1bb38230b60fe642a25e940afa8,OTU18,1
6,cc10d1bb38230b60fe642a25e940afa8,OTU23,1
7,cc10d1bb38230b60fe642a25e940afa8,OTU42,1
29,8f6b56cf715ed57818e64c62b87ad6e4,OTU232,1
33,00bf923b35b631fc0e012e57d02ad48f,OTU112,1
34,00bf923b35b631fc0e012e57d02ad48f,OTU142,1
35,00bf923b35b631fc0e012e57d02ad48f,OTU37,1
48,dc4789a758f5da79ffc569b615943edc,OTU170,1
52,d24498ce9b85c4b88ff0c518159564a8,OTU20,1
53,d24498ce9b85c4b88ff0c518159564a8,OTU81,1
68,5a852f4c71de6ca73ff346892435db0c,OTU23,1
69,5a852f4c71de6ca73ff346892435db0c,OTU6,1
75,717a29ca40a16654c3385435387c3d25,OTU232,1
79,192b7b2d1098dcc58e64cb1ed109cccf,OTU23,1
80,192b7b2d1098dcc58e64cb1ed109cccf,OTU90,1
84,61cf7fc987dcf102b6f918fa01c7b73f,OTU150,1
93,07fc6cc273d8bf4b36191e8cabe3a090,OTU23,1
96,58b8e117443bf7c8b7718b9190e4348b,OTU146,1
100,ffcb9e0979248b4bc0d2074c8ecf40b3,OTU23,1
101,bde433cdb31d310e262d7f21bb9455ad,OTU122,1
102,bde433cdb31d310e262d7f21bb9455ad,OTU150,1
103,bde433cdb31d310e262d7f21bb9455ad,OTU22,1
104,8e0bc807be0124430f6be554b3b6decf,OTU42,1
113,e4fe1228e51ec88409df5332e0a1c6e0,OTU150,1
117,f3dff17693fcf5a48ea7c59ae75780ee,OTU81,1
119,2bb011af9120d953473f129b19d5fbd1,OTU23,1
122,f2bc3e83cc1efa9255f78892b0f590b6,OTU23,1
125,527bdb7bf2c3eec4f7fe8df0e3c058b6,OTU232,1
131,73112b980fcdde07c2958de4630edb4f,OTU170,1
135,d8761000a4c10df6fe8c85491e14103b,OTU232,1
141,7132c215ecbc5958ec5192a5fc55fd35,OTU66,1
144,ba2016c3a2a018069acc96e4e78d1625,OTU46,1
151,6c369f2ea5af632a315ab8f498b5bffb,OTU232,1
154,69da8984cb86869d7cbb8526bf13df28,OTU15,1
156,4dd789de56eb68541e50a4fec77109c1,OTU23,1
163,db14b2ac362fbe2d2ad77b4c675f079e,OTU18,1
164,9157a6ba0b0a359304f76dbfc91685a2,OTU5,1
165,ad82cabfb9d8602bed504248cd400c77,OTU170,1
166,e58f2018f73cf9368879a0301673867e,OTU16,1
167,b408c66bb8f44f0cfeac683e63ef40b3,OTU18,1
168,b408c66bb8f44f0cfeac683e63ef40b3,OTU21,1
169,2407a313794794a6fd1f0b361bb6f20d,OTU110,1
170,633a5143381a2be853afec42b83856c7,OTU107,1
