,OTU1,OTU2,WEIGHT
15,cc10d1bb38230b60fe642a25e940afa8,OTU178,1
16,cc10d1bb38230b60fe642a25e940afa8,OTU18,1
17,cc10d1bb38230b60fe642a25e940afa8,OTU2158,1
18,cc10d1bb38230b60fe642a25e940afa8,OTU23,1
19,cc10d1bb38230b60fe642a25e940afa8,OTU24,1
20,cc10d1bb38230b60fe642a25e940afa8,OTU42,1
21,cc10d1bb38230b60fe642a25e940afa8,OTU6,1
37,01a715d8069715b2998f23c9b10112e7,OTU21,1
50,8a690f5a588f7258e2259018cb6d2912,OTU280,1
63,c87d28c436686dfe0189f6a28575c73b,OTU154,1
68,b0a4bb8e794a0671068e78ccd9149aed,OTU1081,1
69,b0a4bb8e794a0671068e78ccd9149aed,OTU1812,1
70,b0a4bb8e794a0671068e78ccd9149aed,OTU232,1
71,b0a4bb8e794a0671068e78ccd9149aed,OTU78,1
76,7944d2e2e13b3ad37c67f0955391d666,OTU229,1
81,2b20ac531756b2f23f68048a3864952c,OTU2347,1
82,2b20ac531756b2f23f68048a3864952c,OTU50,1
83,2b20ac531756b2f23f68048a3864952c,OTU66,1
124,8f6b56cf715ed57818e64c62b87ad6e4,OTU1081,1
125,8f6b56cf715ed57818e64c62b87ad6e4,OTU1812,1
126,8f6b56cf715ed57818e64c62b87ad6e4,OTU232,1
127,8f6b56cf715ed57818e64c62b87ad6e4,OTU78,1
140,49833122909c5a3b9bb6d76a554500be,OTU1736,1
141,49833122909c5a3b9bb6d76a554500be,OTU178,1
142,49833122909c5a3b9bb6d76a554500be,OTU18,1
143,49833122909c5a3b9bb6d76a554500be,OTU2,1
144,49833122909c5a3b9bb6d76a554500be,OTU20,1
145,49833122909c5a3b9bb6d76a554500be,OTU2158,1
146,49833122909c5a3b9bb6d76a554500be,OTU42,1
147,49833122909c5a3b9bb6d76a554500be,OTU5,1
154,1035b7931671f72d48b6c45a5be9bd10,OTU194,1
155,1035b7931671f72d48b6c45a5be9bd10,OTU3,1
156,1035b7931671f72d48b6c45a5be9bd10,OTU88,1
162,ba703cc4db43e62edc4ec5339f1a1b08,OTU117,1
163,ba703cc4db43e62edc4ec5339f1a1b08,OTU159,1
164,ba703cc4db43e62edc4ec5339f1a1b08,OTU48,1
165,ba703cc4db43e62edc4ec5339f1a1b08,OTU70,1
166,ba703cc4db43e62edc4ec5339f1a1b08,OTU92,1
167,34b8ca114ad28cc6b10528b434200077,OTU105,1
169,00bf923b35b631fc0e012e57d02ad48f,OTU112,1
170,00bf923b35b631fc0e012e57d02ad48f,OTU142,1
171,00bf923b35b631fc0e012e57d02ad48f,OTU149,1
172,00bf923b35b631fc0e012e57d02ad48f,OTU37,1
173,00bf923b35b631fc0e012e57d02ad48f,OTU59,1
200,57a871703b99d58348ab14feb7e47ab5,OTU178,1
201,57a871703b99d58348ab14feb7e47ab5,OTU1812,1
202,57a871703b99d58348ab14feb7e47ab5,OTU184,1
203,57a871703b99d58348ab14feb7e47ab5,OTU60,1
206,308ee29bd41a4cee23099b16d61895fe,OTU229,1
208,62dd12ee0a685ebb1487ecd91bc24d74,OTU170,1
209,62dd12ee0a685ebb1487ecd91bc24d74,OTU185,1
210,62dd12ee0a685ebb1487ecd91bc24d74,OTU339,1
211,62dd12ee0a685ebb1487ecd91bc24d74,OTU97,1
