"","OTU1","OTU2","WEIGHT"
"1","cc10d1bb38230b60fe642a25e940afa8","a99f1b380389930c4bd55168685d4166",1
"2","cc10d1bb38230b60fe642a25e940afa8","c3ca5a009ce3f896cf0888a693813ff9",1
"3","cc10d1bb38230b60fe642a25e940afa8","65d14d573ef912cfd83bcb221018ccfb",1
"4","cc10d1bb38230b60fe642a25e940afa8","fae981eefb2d605235b5651c02f00d67",1
"5","cc10d1bb38230b60fe642a25e940afa8","a97c86563f7af1ff61513bcab25c1ca5",1
"6","cc10d1bb38230b60fe642a25e940afa8","bdcd8b38e4609fd481693ce5e40f2996",1
"7","cc10d1bb38230b60fe642a25e940afa8","93d808dce91ae577beff894793c5718a",1
"8","cc10d1bb38230b60fe642a25e940afa8","b408c66bb8f44f0cfeac683e63ef40b3",1
"9","cc10d1bb38230b60fe642a25e940afa8","480e1ef316a23c181c9be627484cd7ed",1
"10","cc10d1bb38230b60fe642a25e940afa8","01f695d0f2a4090aa14c81239ee7c809",1
"11","e9e7f15fed9de40f35d3dc248caac1b6","ebcaec5d4bc9a6cfa42ea71c01b45758",1
"12","e9e7f15fed9de40f35d3dc248caac1b6","2f2081564d38e7e1425169f81d9a2485",1
"13","e9e7f15fed9de40f35d3dc248caac1b6","b0a4bb8e794a0671068e78ccd9149aed",1
"14","e9e7f15fed9de40f35d3dc248caac1b6","058c699435e9a43f33e9e89769f87fda",1
"15","e9e7f15fed9de40f35d3dc248caac1b6","f9bc69fb2320390efc1c872bc9490d92",1
"16","e9e7f15fed9de40f35d3dc248caac1b6","d79779655a7a24a2315a466bb2ff4dc2",1
"17","e9e7f15fed9de40f35d3dc248caac1b6","e0b226f479feccc916025c6264dc907d",1
"18","e9e7f15fed9de40f35d3dc248caac1b6","8bdea0ef7764f54a3f57c578cf91cd52",1
"19","e9e7f15fed9de40f35d3dc248caac1b6","5a320a3b1b67dbf0e111947bb65c23d5",1
"20","e9e7f15fed9de40f35d3dc248caac1b6","7a8a5d9d8053653f2d24583016936cd3",1
"21","e9e7f15fed9de40f35d3dc248caac1b6","e4fe1228e51ec88409df5332e0a1c6e0",1
"22","e9e7f15fed9de40f35d3dc248caac1b6","2bb011af9120d953473f129b19d5fbd1",1
"23","e9e7f15fed9de40f35d3dc248caac1b6","7a89ae271a2b825b1b479b2c6be35740",1
"24","e9e7f15fed9de40f35d3dc248caac1b6","dbfc69d85e46725d79612b2cebd7b00f",1
"25","e9e7f15fed9de40f35d3dc248caac1b6","65d14d573ef912cfd83bcb221018ccfb",1
"26","e9e7f15fed9de40f35d3dc248caac1b6","a3caf97e3ffae0b993b3f84e2eea2e5d",1
"27","e9e7f15fed9de40f35d3dc248caac1b6","e07ff08c5ee88ce35150249d1767cae5",1
"28","e9e7f15fed9de40f35d3dc248caac1b6","a97c86563f7af1ff61513bcab25c1ca5",1
"29","e9e7f15fed9de40f35d3dc248caac1b6","197d1bccb77514c3ba909806cf00ca64",1
"30","e9e7f15fed9de40f35d3dc248caac1b6","bdcd8b38e4609fd481693ce5e40f2996",1
"31","e9e7f15fed9de40f35d3dc248caac1b6","93d808dce91ae577beff894793c5718a",1
"32","e9e7f15fed9de40f35d3dc248caac1b6","13ac22eeac70f3d0c5c995dc9ec156a5",1
"33","e9e7f15fed9de40f35d3dc248caac1b6","b408c66bb8f44f0cfeac683e63ef40b3",1
"34","e9e7f15fed9de40f35d3dc248caac1b6","2f66b2d1e84fdf4b1e14333d4c643269",1
"35","e9e7f15fed9de40f35d3dc248caac1b6","4ba50df0b74339a68163971b02bf09ee",1
"36","e9e7f15fed9de40f35d3dc248caac1b6","730399263b3c44dae154ddc8feecf441",1
"37","e9e7f15fed9de40f35d3dc248caac1b6","480e1ef316a23c181c9be627484cd7ed",1
"38","b52bab2547ca84674f81fbc90e62ead1","ea518c996f7aac6e95d621d71c238014",1
"39","b52bab2547ca84674f81fbc90e62ead1","OTU131",1
"40","b52bab2547ca84674f81fbc90e62ead1","OTU95",1
"41","23c36fe1b88041baf2fe22129288657c","b2c110881c9725c41a4120b3451ba9ca",1
"42","23c36fe1b88041baf2fe22129288657c","49757e1d69a6f4c7c6572bead944930a",1
"43","23c36fe1b88041baf2fe22129288657c","14e47d947473cf415b091bf01f98a0ca",1
"44","23c36fe1b88041baf2fe22129288657c","eb0b938aceb97f3736c2c672ee096e14",1
"45","23c36fe1b88041baf2fe22129288657c","fc76b8bb39a352f7fd12a7ce4ef34cb5",1
"46","23c36fe1b88041baf2fe22129288657c","7a8a5d9d8053653f2d24583016936cd3",1
"47","23c36fe1b88041baf2fe22129288657c","a9d57835ce1de4a32c729b436a0baaf3",1
"48","23c36fe1b88041baf2fe22129288657c","8936bf768c53458afa08f2252dfa7a90",1
"49","23c36fe1b88041baf2fe22129288657c","dd1839642b69ac8d7e410c2bf858af9f",1
"50","23c36fe1b88041baf2fe22129288657c","dbfc69d85e46725d79612b2cebd7b00f",1
"51","23c36fe1b88041baf2fe22129288657c","e07ff08c5ee88ce35150249d1767cae5",1
"52","23c36fe1b88041baf2fe22129288657c","a97c86563f7af1ff61513bcab25c1ca5",1
"53","23c36fe1b88041baf2fe22129288657c","bdcd8b38e4609fd481693ce5e40f2996",1
"54","23c36fe1b88041baf2fe22129288657c","93d808dce91ae577beff894793c5718a",1
"55","23c36fe1b88041baf2fe22129288657c","b408c66bb8f44f0cfeac683e63ef40b3",1
"56","23c36fe1b88041baf2fe22129288657c","730399263b3c44dae154ddc8feecf441",1
"57","23c36fe1b88041baf2fe22129288657c","480e1ef316a23c181c9be627484cd7ed",1
"58","23c36fe1b88041baf2fe22129288657c","01f695d0f2a4090aa14c81239ee7c809",1
"59","23c36fe1b88041baf2fe22129288657c","OTU18",1
"60","8a690f5a588f7258e2259018cb6d2912","a99f1b380389930c4bd55168685d4166",1
"61","8a690f5a588f7258e2259018cb6d2912","d24498ce9b85c4b88ff0c518159564a8",1
"62","8a690f5a588f7258e2259018cb6d2912","65d14d573ef912cfd83bcb221018ccfb",1
"63","8a690f5a588f7258e2259018cb6d2912","2f66b2d1e84fdf4b1e14333d4c643269",1
"64","ebcaec5d4bc9a6cfa42ea71c01b45758","4932c3580dcc156e09b085b35b56af77",1
"65","ebcaec5d4bc9a6cfa42ea71c01b45758","93d808dce91ae577beff894793c5718a",1
"66","ebcaec5d4bc9a6cfa42ea71c01b45758","13ac22eeac70f3d0c5c995dc9ec156a5",1
"67","ebcaec5d4bc9a6cfa42ea71c01b45758","b408c66bb8f44f0cfeac683e63ef40b3",1
"68","ebcaec5d4bc9a6cfa42ea71c01b45758","4ba50df0b74339a68163971b02bf09ee",1
"69","2f2081564d38e7e1425169f81d9a2485","f055c4350968226dd57b3d97586bc89d",1
