"","OTU1","OTU2","WEIGHT"
"1","0e56d61d747d357494696a3fdd473b8a","eb88ea8594bac17e52dcdd946bf81f83",1
"2","85335757517601901f17d26141385e03","8c36bacb652fe8f655c878e7b516b0f5",1
"3","f6caa25e0714ef10a076dc9e3a723f76","4e88a9951f1d17eba1af3678d8715f1c",1
"4","f6caa25e0714ef10a076dc9e3a723f76","2324fe636173e4da20c2e405eb467cd9",1
"5","f6caa25e0714ef10a076dc9e3a723f76","6ffcec26cf414a064d4133bddd31aa2c",1
"6","f6caa25e0714ef10a076dc9e3a723f76","1e887a705c51a4442904bd0c3642fcd2",1
"7","f6caa25e0714ef10a076dc9e3a723f76","2721b60bfffd54abebe648a6a50cbea7",1
"8","f6caa25e0714ef10a076dc9e3a723f76","f4bcb539b5c64a1114c9606e8b31cd4b",1
"9","f6caa25e0714ef10a076dc9e3a723f76","d7ab329329081508f4aaab230e38b7db",1
"10","f6caa25e0714ef10a076dc9e3a723f76","d529b8591ada0548fc377558698813fe",1
"11","f6caa25e0714ef10a076dc9e3a723f76","d91baa24fc1855a147395eb161670403",1
"12","f6caa25e0714ef10a076dc9e3a723f76","70e5888596080559c7184d2b7c7e435a",1
"13","f6caa25e0714ef10a076dc9e3a723f76","ade6db0de05e75a5ce85d5fc13e3ccfa",1
"14","f6caa25e0714ef10a076dc9e3a723f76","OTU26",1
"15","f6caa25e0714ef10a076dc9e3a723f76","OTU39",1
"16","be7980c813e6fbe8419431886d8a01f7","ec0290f38c4cba4e526abb2303d3ab62",1
"17","14e47d947473cf415b091bf01f98a0ca","dbd4f8dd1a58087fbf66e4fddd368f92",1
"18","4e88a9951f1d17eba1af3678d8715f1c","2324fe636173e4da20c2e405eb467cd9",1
"19","4e88a9951f1d17eba1af3678d8715f1c","6ffcec26cf414a064d4133bddd31aa2c",1
"20","4e88a9951f1d17eba1af3678d8715f1c","1e887a705c51a4442904bd0c3642fcd2",1
"21","4e88a9951f1d17eba1af3678d8715f1c","2721b60bfffd54abebe648a6a50cbea7",1
"22","4e88a9951f1d17eba1af3678d8715f1c","f4bcb539b5c64a1114c9606e8b31cd4b",1
"23","4e88a9951f1d17eba1af3678d8715f1c","d7ab329329081508f4aaab230e38b7db",1
"24","4e88a9951f1d17eba1af3678d8715f1c","d529b8591ada0548fc377558698813fe",1
"25","4e88a9951f1d17eba1af3678d8715f1c","d91baa24fc1855a147395eb161670403",1
"26","4e88a9951f1d17eba1af3678d8715f1c","70e5888596080559c7184d2b7c7e435a",1
"27","4e88a9951f1d17eba1af3678d8715f1c","ade6db0de05e75a5ce85d5fc13e3ccfa",1
"28","4e88a9951f1d17eba1af3678d8715f1c","OTU26",1
"29","4e88a9951f1d17eba1af3678d8715f1c","OTU39",1
"30","2324fe636173e4da20c2e405eb467cd9","6ffcec26cf414a064d4133bddd31aa2c",1
"31","2324fe636173e4da20c2e405eb467cd9","1e887a705c51a4442904bd0c3642fcd2",1
"32","2324fe636173e4da20c2e405eb467cd9","2721b60bfffd54abebe648a6a50cbea7",1
"33","2324fe636173e4da20c2e405eb467cd9","f4bcb539b5c64a1114c9606e8b31cd4b",1
"34","2324fe636173e4da20c2e405eb467cd9","d7ab329329081508f4aaab230e38b7db",1
