"","OTU1","OTU2","WEIGHT"
"1","2f2081564d38e7e1425169f81d9a2485","5a852f4c71de6ca73ff346892435db0c",1
"2","2f2081564d38e7e1425169f81d9a2485","192b7b2d1098dcc58e64cb1ed109cccf",1
"3","2f2081564d38e7e1425169f81d9a2485","a3caf97e3ffae0b993b3f84e2eea2e5d",1
"4","2f2081564d38e7e1425169f81d9a2485","OTU10",1
"5","be7980c813e6fbe8419431886d8a01f7","ec0290f38c4cba4e526abb2303d3ab62",1
"6","058c699435e9a43f33e9e89769f87fda","5a852f4c71de6ca73ff346892435db0c",1
"7","058c699435e9a43f33e9e89769f87fda","a3caf97e3ffae0b993b3f84e2eea2e5d",1
"8","058c699435e9a43f33e9e89769f87fda","ee589d8ed9cde5ca8fde93c4ecf14dd6",1
"9","058c699435e9a43f33e9e89769f87fda","OTU18",1
"10","5fcc9726776ea6171d8832145ac76b30","5a852f4c71de6ca73ff346892435db0c",1
"11","5fcc9726776ea6171d8832145ac76b30","192b7b2d1098dcc58e64cb1ed109cccf",1
"12","5fcc9726776ea6171d8832145ac76b30","354fbb9ef2315ae23717f1cea4eb64df",1
"13","5fcc9726776ea6171d8832145ac76b30","e58f2018f73cf9368879a0301673867e",1
"14","5fcc9726776ea6171d8832145ac76b30","b408c66bb8f44f0cfeac683e63ef40b3",1
"15","5a852f4c71de6ca73ff346892435db0c","192b7b2d1098dcc58e64cb1ed109cccf",1
"16","5a852f4c71de6ca73ff346892435db0c","3e8331bf385df41ef183deba94ae5146",1
"17","5a852f4c71de6ca73ff346892435db0c","a3caf97e3ffae0b993b3f84e2eea2e5d",1
"18","5a852f4c71de6ca73ff346892435db0c","c298277dc9098aa9f6d6d7bef599d851",1
"19","5a852f4c71de6ca73ff346892435db0c","439d648396657982e68f7d2fa10b6610",1
"20","5a852f4c71de6ca73ff346892435db0c","ee589d8ed9cde5ca8fde93c4ecf14dd6",1
"21","5a852f4c71de6ca73ff346892435db0c","e58f2018f73cf9368879a0301673867e",1
"22","5a852f4c71de6ca73ff346892435db0c","b408c66bb8f44f0cfeac683e63ef40b3",1
"23","5a852f4c71de6ca73ff346892435db0c","OTU18",1
"24","192b7b2d1098dcc58e64cb1ed109cccf","3e8331bf385df41ef183deba94ae5146",1
"25","192b7b2d1098dcc58e64cb1ed109cccf","9d739e344b8c35584d63f0585c5271ab",1
"26","192b7b2d1098dcc58e64cb1ed109cccf","c298277dc9098aa9f6d6d7bef599d851",1
"27","192b7b2d1098dcc58e64cb1ed109cccf","ee589d8ed9cde5ca8fde93c4ecf14dd6",1
"28","192b7b2d1098dcc58e64cb1ed109cccf","e58f2018f73cf9368879a0301673867e",1
"29","192b7b2d1098dcc58e64cb1ed109cccf","b408c66bb8f44f0cfeac683e63ef40b3",1
"30","192b7b2d1098dcc58e64cb1ed109cccf","OTU18",1
"31","192b7b2d1098dcc58e64cb1ed109cccf","OTU1812",1
"32","354fbb9ef2315ae23717f1cea4eb64df","f064554bcb81b23028ef4659d0ece4df",1
"33","0b56e21e65fe1dbabc5a868b1294bdb4","a3caf97e3ffae0b993b3f84e2eea2e5d",1
"34","0b56e21e65fe1dbabc5a868b1294bdb4","9290d73ed0e9937551673e36ced04ffc",1
"35","30e7acb37b2024735a6bde132337547b","439d648396657982e68f7d2fa10b6610",1
"36","30e7acb37b2024735a6bde132337547b","b6d8aaf84f853d80e58a458e015862a2",1
"37","3e8331bf385df41ef183deba94ae5146","f064554bcb81b23028ef4659d0ece4df",1
"38","3e8331bf385df41ef183deba94ae5146","ee589d8ed9cde5ca8fde93c4ecf14dd6",1
"39","3e8331bf385df41ef183deba94ae5146","e58f2018f73cf9368879a0301673867e",1
"40","f2bc3e83cc1efa9255f78892b0f590b6","3afe3bff192e0bb73fddd0d2d79110f8",1
"41","a3caf97e3ffae0b993b3f84e2eea2e5d","b408c66bb8f44f0cfeac683e63ef40b3",1
"42","c298277dc9098aa9f6d6d7bef599d851","f064554bcb81b23028ef4659d0ece4df",1
"43","c298277dc9098aa9f6d6d7bef599d851","439d648396657982e68f7d2fa10b6610",1
"44","3afe3bff192e0bb73fddd0d2d79110f8","OTU232",1
"45","2539e1e5a5a0ea3e487e5a3a38d91dd0","69732ebb0431a824840c9ff295fa3005",1
"46","2539e1e5a5a0ea3e487e5a3a38d91dd0","OTU232",1
"47","3693a4e7f9526480f6376c6883a69480","OTU11",1
"48","ee589d8ed9cde5ca8fde93c4ecf14dd6","OTU1812",1
"49","d72bc9e4008e4795a5e402ed2180eea7","69732ebb0431a824840c9ff295fa3005",1
"50","d72bc9e4008e4795a5e402ed2180eea7","OTU26",1
"51","b6d8aaf84f853d80e58a458e015862a2","OTU2075",1
"52","e58f2018f73cf9368879a0301673867e","b408c66bb8f44f0cfeac683e63ef40b3",1
"53","69732ebb0431a824840c9ff295fa3005","OTU232",1
"54","69732ebb0431a824840c9ff295fa3005","OTU26",1
"55","69732ebb0431a824840c9ff295fa3005","OTU39",1
"56","b408c66bb8f44f0cfeac683e63ef40b3","2407a313794794a6fd1f0b361bb6f20d",1
"57","b408c66bb8f44f0cfeac683e63ef40b3","OTU18",1
"58","OTU1","OTU23",1
"59","OTU17","OTU34",1
"60","OTU17","OTU40",1
"61","OTU18","OTU1812",1
"62","OTU1812","OTU232",1
"63","OTU20","OTU63",1
"64","OTU2075","OTU53",1
"65","OTU232","OTU26",1
"66","OTU25","OTU32",1
"67","OTU26","OTU39",1
"68","OTU27","OTU324",1
