,OTU1,OTU2,WEIGHT
39,b52bab2547ca84674f81fbc90e62ead1,OTU131,1
40,b52bab2547ca84674f81fbc90e62ead1,OTU95,1
59,23c36fe1b88041baf2fe22129288657c,OTU18,1
92,2f2081564d38e7e1425169f81d9a2485,OTU10,1
126,b0a4bb8e794a0671068e78ccd9149aed,OTU20,1
127,b0a4bb8e794a0671068e78ccd9149aed,OTU63,1
140,c8f5ab20508a94c98b703e1f654d5212,OTU161,1
141,c8f5ab20508a94c98b703e1f654d5212,OTU215,1
148,d5ac38dd4cce649aae65fcb35690d28b,OTU6,1
169,b2c110881c9725c41a4120b3451ba9ca,OTU10,1
170,b2c110881c9725c41a4120b3451ba9ca,OTU113,1
171,b2c110881c9725c41a4120b3451ba9ca,OTU170,1
172,b2c110881c9725c41a4120b3451ba9ca,OTU1812,1
173,b2c110881c9725c41a4120b3451ba9ca,OTU185,1
179,9a0a12a88db49246043e5cd4700d9261,OTU134,1
180,9a0a12a88db49246043e5cd4700d9261,OTU143,1
181,9a0a12a88db49246043e5cd4700d9261,OTU144,1
182,9a0a12a88db49246043e5cd4700d9261,OTU17,1
183,9a0a12a88db49246043e5cd4700d9261,OTU247,1
184,9a0a12a88db49246043e5cd4700d9261,OTU28,1
185,9a0a12a88db49246043e5cd4700d9261,OTU307,1
186,9a0a12a88db49246043e5cd4700d9261,OTU34,1
187,9a0a12a88db49246043e5cd4700d9261,OTU54,1
188,9a0a12a88db49246043e5cd4700d9261,OTU71,1
189,3d22c64541c4013a3a987a4c493303fb,OTU110,1
190,3d22c64541c4013a3a987a4c493303fb,OTU152,1
191,3d22c64541c4013a3a987a4c493303fb,OTU16,1
192,3d22c64541c4013a3a987a4c493303fb,OTU163,1
193,3d22c64541c4013a3a987a4c493303fb,OTU92,1
217,ea518c996f7aac6e95d621d71c238014,OTU131,1
218,ea518c996f7aac6e95d621d71c238014,OTU95,1
227,f6caa25e0714ef10a076dc9e3a723f76,OTU1067,1
228,f6caa25e0714ef10a076dc9e3a723f76,OTU226,1
229,f6caa25e0714ef10a076dc9e3a723f76,OTU232,1
230,f6caa25e0714ef10a076dc9e3a723f76,OTU234,1
231,f6caa25e0714ef10a076dc9e3a723f76,OTU258,1
232,f6caa25e0714ef10a076dc9e3a723f76,OTU323,1
233,f6caa25e0714ef10a076dc9e3a723f76,OTU39,1
256,49757e1d69a6f4c7c6572bead944930a,OTU18,1
299,058c699435e9a43f33e9e89769f87fda,OTU18,1
314,3880ecab961ff54bf3c646b63c246196,OTU185,1
315,3880ecab961ff54bf3c646b63c246196,OTU7,1
327,0a10abda6ccb2d451ed85858b1f74ffc,OTU60,1
341,14e47d947473cf415b091bf01f98a0ca,OTU52,1
350,dc4789a758f5da79ffc569b615943edc,OTU113,1
351,dc4789a758f5da79ffc569b615943edc,OTU123,1
352,dc4789a758f5da79ffc569b615943edc,OTU125,1
353,dc4789a758f5da79ffc569b615943edc,OTU1812,1
354,dc4789a758f5da79ffc569b615943edc,OTU185,1
355,dc4789a758f5da79ffc569b615943edc,OTU186,1
356,dc4789a758f5da79ffc569b615943edc,OTU201,1
381,f53785470e5bfd7fc20596b5fa3a7b3b,OTU21,1
382,f53785470e5bfd7fc20596b5fa3a7b3b,OTU52,1
426,d24498ce9b85c4b88ff0c518159564a8,OTU30,1
458,5a852f4c71de6ca73ff346892435db0c,OTU161,1
459,5a852f4c71de6ca73ff346892435db0c,OTU18,1
475,717a29ca40a16654c3385435387c3d25,OTU161,1
476,717a29ca40a16654c3385435387c3d25,OTU18,1
504,192b7b2d1098dcc58e64cb1ed109cccf,OTU161,1
505,192b7b2d1098dcc58e64cb1ed109cccf,OTU18,1
506,192b7b2d1098dcc58e64cb1ed109cccf,OTU1812,1
507,192b7b2d1098dcc58e64cb1ed109cccf,OTU75,1
