OTU.ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
929800995dbd80124bd987bcf6912931,D_0__Bacteria,D_1__Planctomycetes,D_2__Planctomycetacia,D_3__Gemmatales,D_4__Gemmataceae,D_5__uncultured,D_6__uncultured bacterium
da94ef95389281c2b3188f5c25085531,D_0__Bacteria,D_1__Chloroflexi,D_2__KD4-96,NA,NA,NA,NA
c601e5595a74d87843c5eb6ccd4866e0,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,NA,NA,NA,NA
efba76fd574127b29e57f223027c1e58,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Cyclobacteriaceae,D_5__uncultured,NA
153ec3f850fdbb4be685ecbbbe15ff31,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__Blastocatellales,D_4__Blastocatellaceae,D_5__uncultured,D_6__uncultured bacterium
a84830665f530c5c4fe6193987cb18e4,D_0__Bacteria,D_1__Actinobacteria,D_2__Thermoleophilia,D_3__Solirubrobacterales,D_4__Solirubrobacteraceae,D_5__Conexibacter,D_6__metagenome
0cb12343217e89991f3f9b0346deda01,D_0__Bacteria,D_1__Chloroflexi,D_2__Chloroflexia,D_3__Kallotenuales,D_4__AKIW781,D_5__uncultured bacterium,D_6__uncultured bacterium
1f062b631901b635358c9481af082617,D_0__Bacteria,D_1__Gemmatimonadetes,D_2__Gemmatimonadetes,D_3__Gemmatimonadales,D_4__Gemmatimonadaceae,NA,NA
953a0de545010ddf9b041e529fc1eff4,D_0__Bacteria,D_1__Actinobacteria,D_2__Thermoleophilia,D_3__Gaiellales,D_4__uncultured,D_5__uncultured bacterium,D_6__uncultured bacterium
8de5a18ac2272a028e6488e43e1164f8,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Sphingomonadales,D_4__Sphingomonadaceae,D_5__Altererythrobacter,NA
698f0c96c514d1d98c82a648d886ec24,D_0__Bacteria,D_1__Planctomycetes,D_2__Planctomycetacia,D_3__Gemmatales,D_4__Gemmataceae,D_5__uncultured,D_6__uncultured bacterium
d7506bbe11082b7e6f0991a448a9ba22,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Acetobacterales,D_4__Acetobacteraceae,D_5__Acidiphilium,D_6__uncultured soil bacterium
0fbe94ce27ca2a328e305ce96fdb681f,D_0__Bacteria,D_1__Chloroflexi,D_2__Chloroflexia,D_3__Chloroflexales,D_4__Chloroflexaceae,D_5__Candidatus Chloroploca,D_6__Candidatus Chloroploca asiatica
f6088db9a172d531b16688b03cc92100,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Acetobacterales,D_4__Acetobacteraceae,NA,NA
bc5784255225141900eaf3b58c186677,D_0__Bacteria,D_1__Actinobacteria,D_2__Thermoleophilia,D_3__Gaiellales,D_4__uncultured,NA,NA
b8bc8221b9a914cafec59564f08a4328,D_0__Bacteria,NA,NA,NA,NA,NA,NA
b2544047c1e7609ac9ecf398779295ad,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Azospirillales,D_4__Azospirillaceae,D_5__Skermanella,NA
802151508bd362d66e7cdb418a6bc280,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__11-24,D_4__uncultured bacterium,D_5__uncultured bacterium,D_6__uncultured bacterium
57d5352eb34771e0f1d348cb59fae03c,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Solibacterales,D_4__Solibacteraceae (Subgroup 3),D_5__Bryobacter,NA
6c473687a1305534ba3b1c24556a9ac2,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Propionibacteriales,D_4__Nocardioidaceae,NA,NA
5dfbc953a38f31582e41ca452a53685b,D_0__Bacteria,D_1__Gemmatimonadetes,D_2__Longimicrobia,D_3__Longimicrobiales,D_4__Longimicrobiaceae,D_5__uncultured bacterium,D_6__uncultured bacterium
130d38c5a3a467b29d663d7d4b978ab9,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__uncultured,NA,NA
1039323a2bc6bee20c52230a121b0da2,D_0__Bacteria,D_1__Actinobacteria,D_2__Thermoleophilia,D_3__Solirubrobacterales,D_4__Solirubrobacteraceae,D_5__Solirubrobacter,D_6__uncultured bacterium
595a0fd0ae2479b64239b625df9d938d,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Hymenobacteraceae,D_5__Adhaeribacter,D_6__uncultured bacterium
a718a7adb8e844bf407a5a0c84770e93,D_0__Bacteria,D_1__Actinobacteria,D_2__Thermoleophilia,D_3__Gaiellales,D_4__uncultured,D_5__metagenome,D_6__metagenome
a7b23ad2181cd063d8b8c16b018b4141,Unassigned,NA,NA,NA,NA,NA,NA
e1b9d60e78c001c5d84f066d5123dc34,Unassigned,NA,NA,NA,NA,NA,NA
93af2e169a98bcb0781988b5febbd9db,D_0__Bacteria,D_1__Gemmatimonadetes,D_2__Longimicrobia,D_3__Longimicrobiales,D_4__Longimicrobiaceae,D_5__uncultured bacterium,D_6__uncultured bacterium
7891f82204df410e370e02b7ff9a3b12,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,NA,NA,NA,NA
8fc7c4f845b7809606690a0353585004,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Hymenobacteraceae,D_5__Adhaeribacter,NA
15baec67f0aa7af52ef72e28bc613339,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Myxococcales,NA,NA,NA
dcc258b11e30863cd3ee9faec9fcdcef,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__uncultured,D_4__uncultured bacterium,D_5__uncultured bacterium,D_6__uncultured bacterium
eeeddd01eea332595526caa7281cea9e,D_0__Bacteria,D_1__Planctomycetes,D_2__Planctomycetacia,D_3__Gemmatales,D_4__Gemmataceae,D_5__Gemmata,D_6__Gemmata sp. Fl1-1
af0bf2979b20c2359f7504e8b6a15692,D_0__Bacteria,NA,NA,NA,NA,NA,NA
a176dfac3a6d979c62ee15fb889f6975,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Acetobacterales,D_4__Acetobacteraceae,D_5__Craurococcus,D_6__uncultured bacterium
6d5ca948950ce71fdf7f56ffe4341c61,D_0__Bacteria,D_1__Acidobacteria,D_2__Thermoanaerobaculia,D_3__Thermoanaerobaculales,D_4__Thermoanaerobaculaceae,D_5__Subgroup 10,NA
4440962064284c5e3b0f57469485658d,D_0__Bacteria,D_1__Chloroflexi,D_2__Chloroflexia,D_3__Kallotenuales,D_4__AKIW781,D_5__uncultured bacterium,D_6__uncultured bacterium
a3ee9f660a4d2d2ef3cf404282ab992f,D_0__Bacteria,D_1__Planctomycetes,D_2__Phycisphaerae,D_3__Tepidisphaerales,D_4__WD2101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium
17d66121583bb6fc117391e685a8f4c7,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Spirosomaceae,D_5__Nibrella,D_6__uncultured bacterium
132162c0d21eca8b472a7d3af76ed3c1,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,NA,NA,NA,NA
